,d12,d23,d13,node2,angle,latitude,longitude,time
40,195.62555389129037,220.20856756342891,329.66763709266723,"(39.912693806221554, 116.35734959019919)",104.7389144485426,39.912693806221554,116.35734959019919,2022-02-07 08:31:52
41,220.20856756342891,100.6536678435754,319.5512228544504,"(39.91268839513264, 116.35477413675584)",168.83105245558613,39.91268839513264,116.35477413675584,2022-02-07 08:34:56
42,100.6536678435754,218.1047391080714,118.61650751367189,"(39.912510355281135, 116.35361986417465)",6.417482857942803,39.912510355281135,116.35361986417465,2022-02-07 08:35:50
43,218.1047391080714,54.938883239233974,250.89858017675826,"(39.91267843349719, 116.35616136304431)",121.05391190469685,39.91267843349719,116.35616136304431,2022-02-07 09:05:48
44,54.938883239233974,441.9940664579117,420.9148989380502,"(39.913122599750146, 116.35644450890183)",64.10752183189315,39.913122599750146,116.35644450890183,2022-02-07 09:06:17
45,441.9940664579117,517.2709992460556,155.61299903202058,"(39.90998402336049, 116.35962420246285)",16.375412132863865,39.90998402336049,116.35962420246285,2022-02-07 09:06:30
46,517.2709992460556,42.20947464076049,547.2310892494455,"(39.91270019241996, 116.35470915267157)",133.59455576988148,39.91270019241996,116.35470915267157,2022-02-07 09:06:43
47,42.20947464076049,16.082697074478215,57.607852124445635,"(39.91262932862607, 116.35422414211482)",160.31902074430658,39.91262932862607,116.35422414211482,2022-02-07 09:06:54
48,16.082697074478215,194.60464788025268,180.38754793967186,"(39.91255597824119, 116.3540619474713)",26.743460492762548,39.91255597824119,116.3540619474713,2022-02-07 09:06:59
49,194.60464788025268,226.49519139411424,218.43617069764224,"(39.912668481841486, 116.35633326187828)",61.947820627364145,39.912668481841486,116.35633326187828,2022-02-07 09:09:24
50,226.49519139411424,234.139048897362,232.66606386935106,"(39.91081037738757, 116.35524013741313)",60.64892784138404,39.91081037738757,116.35524013741313,2022-02-07 10:02:50
51,234.139048897362,218.1047391080714,221.86870949641963,"(39.912510355281135, 116.35361986417465)",58.63126641547388,39.912510355281135,116.35361986417465,2022-02-07 10:03:19
52,218.1047391080714,221.86870949641963,234.139048897362,"(39.91267843349719, 116.35616136304431)",64.29721011039528,39.91267843349719,116.35616136304431,2022-02-07 10:07:33
53,221.86870949641963,232.26178533335764,173.56936161525704,"(39.91081037738757, 116.35524013741313)",44.867593130545615,39.91081037738757,116.35524013741313,2022-02-07 10:07:44
54,232.26178533335764,168.69337648246696,111.0773580112975,"(39.91272026454238, 116.35413209844971)",26.60481053251546,39.91272026454238,116.35413209844971,2022-02-07 10:08:33
55,168.69337648246696,110.4864332243016,170.4011349723186,"(39.91175751486325, 116.35565837053846)",71.8236886917832,39.91175751486325,116.35565837053846,2022-02-07 10:08:40
56,110.4864332243016,170.4011349723186,168.69337648246696,"(39.91268558730978, 116.35612452706577)",70.14905426186179,39.91268558730978,116.35612452706577,2022-02-07 10:09:02
57,170.4011349723186,232.26178533335764,221.51659193856992,"(39.91272026454238, 116.35413209844971)",64.63206714669103,39.91272026454238,116.35413209844971,2022-02-07 10:09:16
58,232.26178533335764,221.51659193856992,170.4011349723186,"(39.91081037738757, 116.35524013741313)",44.03304917429373,39.91081037738757,116.35524013741313,2022-02-07 10:09:41
59,221.51659193856992,574.1676980277955,508.6161778780504,"(39.91268558730978, 116.35612452706577)",61.840254356060534,39.91268558730978,116.35612452706577,2022-02-07 10:09:46
60,574.1676980277955,605.0241722468351,55.1796166966976,"(39.90883533524509, 116.36060714805208)",4.4481184746150495,39.90883533524509,116.36060714805208,2022-02-07 10:10:10
61,605.0241722468351,281.39395795267643,525.6142797553744,"(39.91316240005493, 116.35630644617233)",60.24911394126339,39.91316240005493,116.35630644617233,2022-02-07 10:10:13
62,281.39395795267643,222.49005778084583,240.84803740216995,"(39.91082639052937, 116.35503021210404)",55.63635731083067,39.91082639052937,116.35503021210404,2022-02-07 10:10:15
63,222.49005778084583,215.03728799033217,226.64766820885865,"(39.912510355281135, 116.35361986417465)",62.37152277282914,39.912510355281135,116.35361986417465,2022-02-07 10:10:21
64,215.03728799033217,221.51659193856992,234.139048897362,"(39.91268558730978, 116.35612452706577)",64.84909542667471,39.91268558730978,116.35612452706577,2022-02-07 10:10:32
65,221.51659193856992,111.0773580112975,110.4864332243016,"(39.91081037738757, 116.35524013741313)",1.1795070188756354,39.91081037738757,116.35524013741313,2022-02-07 10:10:35
66,111.0773580112975,111.0773580112975,0.0,"(39.91175751486325, 116.35565837053846)",0.0,39.91175751486325,116.35565837053846,2022-02-07 10:12:38
67,111.0773580112975,221.86870949641963,110.9286839439456,"(39.91081037738757, 116.35524013741313)",2.0140646074529167,39.91081037738757,116.35524013741313,2022-02-07 10:31:55
68,221.86870949641963,110.9286839439456,111.0773580112975,"(39.91267843349719, 116.35616136304431)",2.0167690517234598,39.91267843349719,116.35616136304431,2022-02-07 10:31:57
